Features,Reduced Dimension Space,accuracy,classification error,f1 score
pca,100.0,83.75,16.25,0.8376650600431561
k_pca,100.0,26.25,73.75,0.27076555023923443
lda,7.0,95.0,5.0,0.9351065729935699
k_lda,7.0,88.75,11.25,0.8819528884428265
resnet,2048.0,97.5,2.5,0.9731664230019493
vgg,4096.0,78.75,21.25,0.7888296824577784
pca+lda+vgg,4203.0,90.0,10.0,0.8881477591036415
k_pca+k_lda,107.0,88.75,11.25,0.8845124122523503
resnet+vgg,6144.0,100.0,0.0,1.0
all,6358.0,100.0,0.0,1.0
