Features,Reduced Dimension Space,accuracy,precision,verification error
pca,100.0,56.25,0.6570149331662489,43.75
k_pca,100.0,23.75,0.4126157407407407,76.25
lda,7.0,95.0,0.9468253968253968,5.0
k_lda,7.0,90.0,0.8955929487179488,10.0
resnet,2048.0,95.0,0.9569805194805195,5.0
vgg,4096.0,90.0,0.9,10.0
pca+lda+vgg,4203.0,91.25,0.915625,8.75
k_pca+k_lda,107.0,90.0,0.8955929487179488,10.0
resnet+vgg,6144.0,98.75,0.9875,1.25
all,6358.0,98.75,0.9875,1.25
